SMU Volt (V),SMU Curr (A)
-0.0009538,1.98e-13
0.0486726,0.050003188
0.0983185,0.100002234
0.1457448,0.14788692
0.1949184,0.19744054
0.2436321,0.24654669
0.292985,0.29628869
0.3393235,0.34303331
0.386624,0.39055209
0.4382,0.44264619
0.4869831,0.49180353
0.5365016,0.54174018
0.5852094,0.59086829
0.6347742,0.64084538
0.6829558,0.68939395
0.7319602,0.73882944
0.7814558,0.78865949
0.8301563,0.83775453
0.8791033,0.88709152
0.9276973,0.93610775
0.9775898,0.98637401
1.0252991,1.03445476
1.0710446,1.08048941
1.1218184,1.13167819
1.1716173,1.18196612
1.2203894,1.23109621
1.269301,1.28045498
1.3191251,1.33063525
1.3674093,1.37934695
1.4160544,1.4283808
1.4647727,1.47749317
1.4524921,1.4628869
1.5342068,1.544295
1.5815428,1.5919879
1.6286078,1.639304
1.6762882,1.6872942
1.7627581,1.7727343
1.810679,1.8208575
1.8601648,1.8705684
1.9084227,1.9190463
1.9586662,1.9694557
