SMU Volt (V),SMU Curr (A),DMM Volt (V)
1.6475091,1.50005907,4.01091023e-06
1.6480464,1.51005097,0.110498357
1.6484843,1.5201653,0.110307631
1.6490565,1.5301276,0.119581059
1.6495436,1.5401653,0.128175597
1.6501173,1.5501809,0.138749559
1.6505806,1.56014,0.148803193
1.6511071,1.5701484,0.158951462
1.6516716,1.5801645,0.169197968
1.6522262,1.5901341,0.179408258
1.6527217,1.6001396,0.189831509
1.6532194,1.6101498,0.20008045
1.6538575,1.6201557,0.210534654
1.6543696,1.6302079,0.21937994
1.6549084,1.6400971,0.230174587
1.6554165,1.6502006,0.240614949
1.655947,1.6601982,0.252729085
1.6564853,1.6701799,0.262084671
1.6569744,1.680138,0.272712941
1.6575013,1.6901741,0.285286956
1.6579818,1.7001678,0.294798704
1.6584991,1.7101578,0.307355431
1.659001,1.720144,0.318328029
1.6595383,1.7301499,0.329442464
1.6600627,1.7401171,0.340411912
1.6605627,1.750181,0.349487063
1.6610658,1.7601373,0.360668681
1.6615829,1.7701125,0.373659527
1.6620731,1.7801553,0.384686429
1.6625584,1.7901519,0.395871568
1.6631075,1.8001909,0.40717197
1.6636508,1.8101619,0.415634498
1.6641789,1.8201587,0.426662681
1.664662,1.8301856,0.438520942
1.665226,1.8401261,0.448463048
1.6657625,1.8501731,0.462482779
1.6662951,1.8601524,0.470877545
1.6667679,1.8701695,0.481434902
1.6673182,1.880145,0.492429933
1.667822,1.890062,0.506886873
1.6683119,1.9001021,0.515109104
1.6688153,1.9101138,0.528998032
1.6693584,1.9201235,0.537245567
1.6698628,1.9302205,0.551470562
1.6703823,1.9401607,0.56262672
1.6708446,1.9501578,0.573847172
1.6713984,1.9602094,0.585255451
1.6719064,1.9702028,0.596578883
1.6723983,1.9801608,0.608040511
1.672875,1.9901826,0.616180097
1.6734395,2.000184,0.630566895
