SMU Volt (V),SMU Curr (A),DMM Volt (V)
-0.0420878,-1.3132e-11,8.67057619e-06
1.3894753,0.0100000274,1.30971081e-05
1.4154902,0.020001078,1.37181289e-05
1.4311261,0.029998484,2.44176746e-05
1.4424808,0.040001557,4.14118392e-05
1.4514644,0.050000197,5.57907825e-05
1.4589072,0.059999603,6.63893369e-05
1.4652879,0.069999233,8.24579996e-05
1.4708917,0.080002502,9.60310227e-05
1.4759225,0.089999664,0.000117160302
1.4804977,0.100000378,0.00013337618
1.4699881,0.10873388,0.000137854966
1.4885691,0.11999571,0.000163554476
1.4921933,0.13001642,0.000176390916
1.49557,0.1399901,0.000203703272
1.498807,0.15003218,0.000227092041
1.5018519,0.16003171,0.000252159477
1.504739,0.17002588,0.000267573455
1.5074912,0.18000739,0.000290959712
1.5101823,0.19001516,0.000332520375
1.5127434,0.20001609,0.000344859898
1.5152014,0.21001335,0.000368532047
1.5175485,0.22002932,0.000399701162
1.5198288,0.23001198,0.000431996757
1.5220172,0.24001384,0.000453477245
1.5242083,0.25001005,0.000484492612
1.5262805,0.26003681,0.000512225513
1.5283453,0.27001898,0.000541321545
1.5303419,0.28002986,0.000571286804
1.5322819,0.29001383,0.000604772187
1.5341784,0.30001694,0.00063554186
1.5360073,0.31000932,0.000668300708
1.5378573,0.32003061,0.000699914989
1.5397108,0.33001479,0.000739396036
1.5414228,0.3400074,0.000767593195
1.5431278,0.35005109,0.000804720795
1.54476,0.36000189,0.000839119118
1.5464652,0.37002488,0.000874966993
1.5480561,0.38005025,0.000912684964
1.5496255,0.39003566,0.000946621541
1.551203,0.40003884,0.000985490612
1.552768,0.41002533,0.00102662822
1.5542595,0.4200319,0.00106312073
1.5557758,0.43002396,0.001106656
1.5572048,0.44003632,0.00113919528
1.5586778,0.45004928,0.00117434526
1.5600994,0.46002883,0.00122015308
1.5615293,0.47000615,0.00126286082
1.5629185,0.4800307,0.00130762607
1.5643173,0.49004321,0.00134575404
1.565698,0.50001421,0.00138784327
1.5670399,0.51003868,0.00142407803
1.5683699,0.52003192,0.00148151441
1.569628,0.53004977,0.00151759794
1.5709414,0.54003681,0.00157010535
1.5722424,0.55002368,0.00161147408
1.5735333,0.56001772,0.00164863082
1.5747184,0.57001736,0.00169824516
1.5760007,0.58002928,0.0017484157
1.5772352,0.59004151,0.0018017833
1.5784227,0.60005095,0.00184798855
1.5796221,0.61005317,0.00190225251
1.5807759,0.62001476,0.00194109093
1.5819426,0.63003215,0.00200751001
1.5831014,0.64005332,0.00205470056
1.5842523,0.65002708,0.00210734413
1.58543,0.66003276,0.00215305448
1.5865332,0.67004513,0.00220997235
1.5876545,0.6800432,0.00226550145
1.5887671,0.69002607,0.00231296332
1.5898668,0.70004684,0.00235720151
1.5909349,0.71003377,0.00242547109
1.5920695,0.72002781,0.0024772575
1.5931187,0.73002815,0.00253305893
1.5941932,0.74003134,0.00259732655
1.59527,0.75005852,0.00264955108
1.5962914,0.76004512,0.0027202123
1.597341,0.77002479,0.002777816
1.5983354,0.78004504,0.00284097322
1.5993968,0.79004576,0.00265439515
1.60038,0.80003043,0.00295631829
1.6013939,0.81003639,0.00300830667
1.6024235,0.82003461,0.00307231855
1.6033581,0.83001375,0.00313546772
1.6043939,0.84006544,0.00320185967
1.605376,0.85006017,0.00327333284
1.6063259,0.86004141,0.00333226902
1.6073225,0.87002148,0.00340655185
1.608276,0.88006159,0.00347004018
1.6091881,0.8900341,0.00355559585
1.6101454,0.90003959,0.00360886848
1.6110896,0.91003969,0.00368522942
1.6119666,0.92005007,0.00376408349
1.612919,0.93005386,0.00381986031
1.6138605,0.94003119,0.0038960263
1.6147968,0.95003889,0.00396226249
1.6157392,0.9600616,0.00401794887
1.6166197,0.97004078,0.00411046439
1.6175255,0.98003638,0.00436027002
1.6183678,0.99007154,0.0042690709
1.6192802,1.0000591,0.00433358973
1.6201227,1.01002576,0.00441338337
1.6209966,1.02005189,0.00449416281
1.6219275,1.0300422,0.00474782017
1.6227756,1.04003097,0.00465934731
1.6236216,1.05004031,0.00467028452
1.6245279,1.06006342,0.00480700104
1.6253593,1.0700345,0.00488483766
1.6261656,1.08003933,0.0049757112
1.6269903,1.09005578,0.00506228381
1.62785,1.10005445,0.00514945886
1.6286481,1.11004443,0.00523523208
1.629509,1.12005638,0.0053381271
1.6303055,1.13005388,0.00542491375
1.6311561,1.14006745,0.00551313086
1.6320003,1.15007531,0.00559203769
1.6327853,1.16004917,0.00571537514
1.633589,1.1700335,0.00579646157
1.6344055,1.1800522,0.00587573015
1.6351589,1.1900566,0.00598840825
1.6359844,1.20005003,0.00608837301
1.63678,1.21006098,0.00616750945
1.6375191,1.22005904,0.00629760326
1.638329,1.23003968,0.00640270903
1.639079,1.24007389,0.00651392502
1.639912,1.25005089,0.00663247618
1.6406998,1.26005987,0.00674200647
1.6414498,1.27004287,0.00683671566
1.6422308,1.28007079,0.00697632476
1.6429598,1.29009753,0.00709495431
1.6437601,1.30005551,0.00721218455
1.6444845,1.31007698,0.0073270724
1.6452346,1.32004047,0.0074429159
1.6460076,1.33007199,0.00759290398
1.6468031,1.34004489,0.00773640652
1.6474947,1.35005676,0.00786800616
1.6482656,1.36004759,0.00799281275
1.6489982,1.37004863,0.00814107796
1.6497237,1.38004318,0.00827024677
1.6504709,1.39003288,0.00839557893
1.6512256,1.40005217,0.00856718718
1.6519388,1.41006387,0.00870977627
